sale_date,DayOfWeek,product_id,customer_id,region,category,sale_amount_sum,sale_amount_mean,transaction_id_count,transaction_id
2024-01-06,Saturday,102,1008,North,Clothing,39.1,39.1,1,[550]
2024-01-06,Saturday,105,1009,West,Sports,19.78,19.78,1,[551]
2024-01-16,Tuesday,102,1006,South,Clothing,195.5,195.5,1,[553]
2024-01-16,Tuesday,107,1004,West,Clothing,335.1,335.1,1,[552]
2024-01-25,Thursday,101,1001,East,Electronics,2379.36,2379.36,1,[555]
2024-01-25,Thursday,102,1005,North,Clothing,117.3,117.3,1,[554]
2024-01-29,Monday,101,1010,East,Electronics,3172.48,3172.48,1,[557]
2024-01-29,Monday,104,1009,West,Clothing,172.4,172.4,1,[556]
2024-02-06,Tuesday,101,1010,East,Electronics,6344.96,6344.96,1,[560]
2024-02-06,Tuesday,102,1002,East,Clothing,312.8,312.8,1,[558]
2024-02-06,Tuesday,106,1001,East,Electronics,622.86,622.86,1,[559]
2024-02-06,Tuesday,107,1005,North,Clothing,469.14,469.14,1,[561]
2024-02-08,Thursday,107,1006,South,Clothing,67.02,67.02,1,[563]
2024-02-08,Thursday,108,1003,West,Electronics,12.56,12.56,1,[562]
2024-02-09,Friday,105,1002,East,Sports,138.46,138.46,1,[565]
2024-02-09,Friday,107,1009,West,Clothing,469.14,469.14,1,[564]
2024-02-24,Saturday,101,1010,East,Electronics,3965.6,3965.6,1,[569]
2024-02-24,Saturday,103,1007,South,Electronics,204.84,204.84,1,[566]
2024-02-24,Saturday,106,1007,South,Electronics,444.9,444.9,1,[567]
2024-02-24,Saturday,107,1011,East,Clothing,603.18,603.18,1,[568]
2024-02-27,Tuesday,106,1011,East,Electronics,533.88,533.88,1,[571]
2024-02-27,Tuesday,107,1010,East,Clothing,402.12,402.12,1,[570]
2024-03-20,Wednesday,101,1001,East,Electronics,7138.08,7138.08,1,[573]
2024-03-20,Wednesday,105,1005,North,Sports,178.02,178.02,1,[572]
2024-03-25,Monday,101,1006,South,Electronics,4758.72,4758.72,1,[574]
2024-03-25,Monday,108,1001,East,Electronics,75.36,75.36,1,[575]
2024-04-07,Sunday,104,1005,North,Clothing,387.9,387.9,1,[577]
2024-04-07,Sunday,108,1001,East,Electronics,113.04,113.04,1,[576]
2024-04-10,Wednesday,106,1006,South,Electronics,800.82,800.82,1,[578]
2024-04-10,Wednesday,106,1008,North,Electronics,800.82,800.82,1,[579]
2024-04-11,Thursday,101,1009,West,Electronics,793.12,793.12,1,[581]
2024-04-11,Thursday,103,1004,West,Electronics,22.76,22.76,1,[580]
2024-04-19,Friday,101,1001,East,Electronics,6344.96,6344.96,1,[582]
2024-04-19,Friday,102,1009,West,Clothing,312.8,312.8,1,[583]
2024-04-27,Saturday,101,1007,South,Electronics,7138.08,7138.08,1,[584]
2024-04-27,Saturday,108,1002,East,Electronics,113.04,113.04,1,[585]
2024-04-30,Tuesday,102,1007,South,Clothing,78.2,78.2,1,[587]
2024-04-30,Tuesday,105,1001,East,Sports,39.56,39.56,1,[586]
2024-05-02,Thursday,102,1002,East,Clothing,117.3,117.3,1,[588]
2024-05-02,Thursday,102,1007,South,Clothing,117.3,117.3,1,[589]
2024-05-08,Wednesday,101,1004,West,Electronics,7138.08,7138.08,1,[591]
2024-05-08,Wednesday,107,1005,North,Clothing,603.18,603.18,1,[590]
2024-05-17,Friday,104,1008,North,Clothing,431.0,431.0,1,[593]
2024-05-17,Friday,107,1006,South,Clothing,670.2,670.2,1,[592]
2024-05-19,Sunday,101,1003,West,Electronics,1586.24,1586.24,1,[594]
2024-05-19,Sunday,108,1006,South,Electronics,25.12,25.12,1,[595]
2024-05-29,Wednesday,102,1008,North,Clothing,195.5,195.5,1,[597]
2024-05-29,Wednesday,105,1011,East,Sports,98.9,98.9,1,[596]
2024-06-06,Thursday,102,1004,West,Clothing,351.9,351.9,1,[599]
2024-06-06,Thursday,104,1001,East,Clothing,387.9,387.9,1,[598]
2024-06-12,Wednesday,103,1010,East,Electronics,182.08,182.08,1,[600]
2024-06-12,Wednesday,106,1005,North,Electronics,711.84,711.84,1,[601]
2024-06-17,Monday,101,1006,South,Electronics,2379.36,2379.36,1,[603]
2024-06-17,Monday,101,1007,South,Electronics,2379.36,2379.36,1,[602]
2024-06-20,Thursday,102,1009,West,Clothing,39.1,39.1,1,[604]
2024-06-20,Thursday,108,1002,East,Electronics,12.56,12.56,1,[605]
2024-07-02,Tuesday,105,1005,North,Sports,79.12,79.12,1,[606]
2024-07-02,Tuesday,108,1011,East,Electronics,50.24,50.24,1,[607]
2024-07-04,Thursday,101,1004,West,Electronics,3965.6,3965.6,1,[609]
2024-07-04,Thursday,102,1003,West,Clothing,39.1,39.1,1,[608]
2024-07-04,Thursday,102,1006,South,Clothing,195.5,195.5,1,[611]
2024-07-04,Thursday,106,1010,East,Electronics,88.98,88.98,1,[610]
2024-07-07,Sunday,104,1003,West,Clothing,517.2,258.6,2,"[612, 613]"
2024-07-15,Monday,101,1011,East,Electronics,7138.08,7138.08,1,[614]
2024-07-15,Monday,104,1010,East,Clothing,387.9,387.9,1,[615]
2024-07-17,Wednesday,107,1001,East,Clothing,134.04,134.04,1,[616]
2024-07-17,Wednesday,107,1003,West,Clothing,134.04,134.04,1,[617]
2024-07-21,Sunday,104,1001,East,Clothing,172.4,172.4,1,[618]
2024-07-21,Sunday,105,1008,North,Sports,79.12,79.12,1,[619]
2024-07-25,Thursday,101,1010,East,Electronics,7931.2,7931.2,1,[621]
2024-07-25,Thursday,108,1007,South,Electronics,125.6,125.6,1,[620]
2024-08-01,Thursday,107,1002,East,Clothing,536.16,536.16,1,[623]
2024-08-01,Thursday,108,1003,West,Electronics,100.48,100.48,1,[622]
2024-08-02,Friday,108,1002,East,Electronics,125.6,125.6,1,[625]
2024-08-02,Friday,108,1011,East,Electronics,125.6,125.6,1,[624]
2024-08-05,Monday,104,1006,South,Clothing,129.3,129.3,1,[627]
2024-08-05,Monday,108,1003,West,Electronics,37.68,37.68,1,[626]
2024-08-14,Wednesday,101,1006,South,Electronics,2379.36,2379.36,1,[629]
